match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
sri lanka vs u.a.e.,U.A.E.,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,Wanindu Hasaranga de Silva,4,1,8,3,2.00,17,0,0,0,0,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,T20I # 1832
scotland vs ireland,Ireland,Josh Little,4,0,30,1,7.50,10,2,1,1,0,T20I # 1833
scotland vs ireland,Ireland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0,T20I # 1833
scotland vs ireland,Ireland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1,T20I # 1833
scotland vs ireland,Ireland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0,T20I # 1833
scotland vs ireland,Ireland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0,T20I # 1833
scotland vs ireland,Ireland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0,T20I # 1833
scotland vs ireland,Ireland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0,T20I # 1833
scotland vs ireland,Scotland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,T20I # 1833
scotland vs ireland,Scotland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,T20I # 1833
scotland vs ireland,Scotland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,T20I # 1833
scotland vs ireland,Scotland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,T20I # 1833
scotland vs ireland,Scotland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,T20I # 1833
scotland vs ireland,Scotland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,T20I # 1833
west indies vs zimbabwe,Zimbabwe,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0,T20I # 1834
west indies vs zimbabwe,Zimbabwe,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0,T20I # 1834
west indies vs zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1,T20I # 1834
west indies vs zimbabwe,Zimbabwe,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0,T20I # 1834
west indies vs zimbabwe,Zimbabwe,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,T20I # 1834
west indies vs zimbabwe,Zimbabwe,Sean Williams,3,0,17,1,5.66,7,1,0,0,1,T20I # 1834
west indies vs zimbabwe,West Indies,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,T20I # 1834
west indies vs zimbabwe,West Indies,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,T20I # 1834
west indies vs zimbabwe,West Indies,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,T20I # 1834
west indies vs zimbabwe,West Indies,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,T20I # 1834
west indies vs zimbabwe,West Indies,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,T20I # 1834
west indies vs zimbabwe,West Indies,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,T20I # 1834
sri lanka vs netherlands,Netherlands,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0,T20I # 1835
sri lanka vs netherlands,Netherlands,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0,T20I # 1835
sri lanka vs netherlands,Netherlands,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0,T20I # 1835
sri lanka vs netherlands,Netherlands,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0,T20I # 1835
sri lanka vs netherlands,Netherlands,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0,T20I # 1835
sri lanka vs netherlands,Netherlands,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Wanindu Hasaranga de Silva,4,0,28,3,7.00,11,3,0,0,0,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,T20I # 1835
sri lanka vs netherlands,Sri Lanka,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,T20I # 1835
u.a.e. vs namibia,Namibia,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0,T20I # 1836
u.a.e. vs namibia,Namibia,David Wiese,4,0,27,1,6.75,12,2,1,1,0,T20I # 1836
u.a.e. vs namibia,Namibia,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0,T20I # 1836
u.a.e. vs namibia,Namibia,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,T20I # 1836
u.a.e. vs namibia,Namibia,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0,T20I # 1836
u.a.e. vs namibia,Namibia,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0,T20I # 1836
u.a.e. vs namibia,U.A.E.,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,T20I # 1836
u.a.e. vs namibia,U.A.E.,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,T20I # 1836
u.a.e. vs namibia,U.A.E.,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,T20I # 1836
u.a.e. vs namibia,U.A.E.,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,T20I # 1836
u.a.e. vs namibia,U.A.E.,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,T20I # 1836
u.a.e. vs namibia,U.A.E.,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,T20I # 1836
u.a.e. vs namibia,U.A.E.,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,T20I # 1836
west indies vs ireland,Ireland,Josh Little,4,0,31,0,7.75,8,1,2,1,0,T20I # 1837
west indies vs ireland,Ireland,Mark Adair,4,0,26,0,6.50,12,1,1,4,0,T20I # 1837
west indies vs ireland,Ireland,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,T20I # 1837
west indies vs ireland,Ireland,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,T20I # 1837
west indies vs ireland,Ireland,Simi Singh,2,0,11,1,5.50,4,1,0,0,0,T20I # 1837
west indies vs ireland,Ireland,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,T20I # 1837
west indies vs ireland,West Indies,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,T20I # 1837
west indies vs ireland,West Indies,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,T20I # 1837
west indies vs ireland,West Indies,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,T20I # 1837
west indies vs ireland,West Indies,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,T20I # 1837
west indies vs ireland,West Indies,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,T20I # 1837
scotland vs zimbabwe,Zimbabwe,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0,T20I # 1838
scotland vs zimbabwe,Zimbabwe,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1,T20I # 1838
scotland vs zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2,T20I # 1838
scotland vs zimbabwe,Zimbabwe,Sean Williams,3,0,19,0,6.33,4,1,0,0,0,T20I # 1838
scotland vs zimbabwe,Zimbabwe,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0,T20I # 1838
scotland vs zimbabwe,Zimbabwe,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0,T20I # 1838
scotland vs zimbabwe,Scotland,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,T20I # 1838
scotland vs zimbabwe,Scotland,Josh Davey,3,0,16,2,5.33,8,1,0,0,1,T20I # 1838
scotland vs zimbabwe,Scotland,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,T20I # 1838
scotland vs zimbabwe,Scotland,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,T20I # 1838
scotland vs zimbabwe,Scotland,Michael Leask,4,0,36,1,9.00,4,2,1,0,0,T20I # 1838
scotland vs zimbabwe,Scotland,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,T20I # 1838
new zealand vs australia,Australia,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0,T20I # 1839
new zealand vs australia,Australia,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0,T20I # 1839
new zealand vs australia,Australia,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0,T20I # 1839
new zealand vs australia,Australia,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0,T20I # 1839
new zealand vs australia,Australia,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0,T20I # 1839
new zealand vs australia,New Zealand,Trent Boult,4,0,24,2,6.00,13,2,1,1,0,T20I # 1839
new zealand vs australia,New Zealand,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,T20I # 1839
new zealand vs australia,New Zealand,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,T20I # 1839
new zealand vs australia,New Zealand,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,T20I # 1839
new zealand vs australia,New Zealand,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,T20I # 1839
afghanistan vs england,England,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,T20I # 1840
afghanistan vs england,England,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,T20I # 1840
afghanistan vs england,England,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,T20I # 1840
afghanistan vs england,England,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,T20I # 1840
afghanistan vs england,England,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0,T20I # 1840
afghanistan vs england,Afghanistan,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,T20I # 1840
afghanistan vs england,Afghanistan,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,T20I # 1840
afghanistan vs england,Afghanistan,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,T20I # 1840
afghanistan vs england,Afghanistan,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,T20I # 1840
afghanistan vs england,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,T20I # 1840
afghanistan vs england,Afghanistan,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,T20I # 1840
ireland vs sri lanka,Sri Lanka,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,T20I # 1841
ireland vs sri lanka,Sri Lanka,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,T20I # 1841
ireland vs sri lanka,Sri Lanka,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,T20I # 1841
ireland vs sri lanka,Sri Lanka,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,T20I # 1841
ireland vs sri lanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0,T20I # 1841
ireland vs sri lanka,Sri Lanka,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,T20I # 1841
ireland vs sri lanka,Ireland,Josh Little,4,0,45,0,11.25,5,4,1,1,0,T20I # 1841
ireland vs sri lanka,Ireland,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,T20I # 1841
ireland vs sri lanka,Ireland,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,T20I # 1841
ireland vs sri lanka,Ireland,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,T20I # 1841
ireland vs sri lanka,Ireland,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,T20I # 1841
ireland vs sri lanka,Ireland,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,T20I # 1841
pakistan vs india,India,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,T20I # 1842
pakistan vs india,India,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,T20I # 1842
pakistan vs india,India,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,T20I # 1842
pakistan vs india,India,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0,T20I # 1842
pakistan vs india,India,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0,T20I # 1842
pakistan vs india,India,Axar Patel,1,0,21,0,21.00,2,0,3,0,0,T20I # 1842
pakistan vs india,Pakistan,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,T20I # 1842
pakistan vs india,Pakistan,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,T20I # 1842
pakistan vs india,Pakistan,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,T20I # 1842
pakistan vs india,Pakistan,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,T20I # 1842
pakistan vs india,Pakistan,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,T20I # 1842
bangladesh vs netherlands,Netherlands,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,T20I # 1843
bangladesh vs netherlands,Netherlands,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0,T20I # 1843
bangladesh vs netherlands,Netherlands,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,T20I # 1843
bangladesh vs netherlands,Netherlands,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0,T20I # 1843
bangladesh vs netherlands,Netherlands,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0,T20I # 1843
bangladesh vs netherlands,Netherlands,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0,T20I # 1843
bangladesh vs netherlands,Netherlands,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0,T20I # 1843
bangladesh vs netherlands,Bangladesh,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,T20I # 1843
bangladesh vs netherlands,Bangladesh,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,T20I # 1843
bangladesh vs netherlands,Bangladesh,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,T20I # 1843
bangladesh vs netherlands,Bangladesh,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,T20I # 1843
bangladesh vs netherlands,Bangladesh,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,T20I # 1843
bangladesh vs netherlands,Bangladesh,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,T20I # 1843
zimbabwe vs south africa,South Africa,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0,T20I # 1844
zimbabwe vs south africa,South Africa,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0,T20I # 1844
zimbabwe vs south africa,South Africa,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0,T20I # 1844
zimbabwe vs south africa,South Africa,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,T20I # 1844
zimbabwe vs south africa,South Africa,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,T20I # 1844
zimbabwe vs south africa,Zimbabwe,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,T20I # 1844
zimbabwe vs south africa,Zimbabwe,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,T20I # 1844
zimbabwe vs south africa,Zimbabwe,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,T20I # 1844
sri lanka vs australia,Australia,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,T20I # 1845
sri lanka vs australia,Australia,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,T20I # 1845
sri lanka vs australia,Australia,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,T20I # 1845
sri lanka vs australia,Australia,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,T20I # 1845
sri lanka vs australia,Australia,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,T20I # 1845
sri lanka vs australia,Australia,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,T20I # 1845
sri lanka vs australia,Australia,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,0,0,T20I # 1845
sri lanka vs australia,Sri Lanka,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,T20I # 1845
ireland vs england,England,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,T20I # 1846
ireland vs england,England,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,T20I # 1846
ireland vs england,England,Mark Wood,4,0,34,3,8.50,13,4,1,2,0,T20I # 1846
ireland vs england,England,Sam Curran,3,0,31,2,10.33,7,1,2,0,0,T20I # 1846
ireland vs england,England,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,T20I # 1846
ireland vs england,England,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,T20I # 1846
ireland vs england,Ireland,Josh Little,3,0,16,2,5.33,11,2,0,2,0,T20I # 1846
ireland vs england,Ireland,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,T20I # 1846
ireland vs england,Ireland,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,T20I # 1846
ireland vs england,Ireland,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,T20I # 1846
ireland vs england,Ireland,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,T20I # 1846
ireland vs england,Ireland,George Dockrell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1846
south africa vs bangladesh,Bangladesh,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3,T20I # 1847
south africa vs bangladesh,Bangladesh,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0,T20I # 1847
south africa vs bangladesh,Bangladesh,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0,T20I # 1847
south africa vs bangladesh,Bangladesh,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,T20I # 1847
south africa vs bangladesh,Bangladesh,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0,T20I # 1847
south africa vs bangladesh,Bangladesh,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1,T20I # 1847
south africa vs bangladesh,Bangladesh,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0,T20I # 1847
south africa vs bangladesh,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0,T20I # 1847
south africa vs bangladesh,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0,T20I # 1847
